Genotype,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79
302,0.300762081,0.354556501,0.431681765,0.407484608,0.292374675,0.367754838,0.280835013,0.349482917,0.36938457,0.347339758,0.414041102,0.360348331,0.207809487,0.329629834,0.305504484,0.382572315,0.346548078,0.372997791,0.256397322,0.347494008,0.354601775,0.276320166,0.337174271,0.33431117,0.274537919,0.345523057,0.326594689,0.266257288,0.335303783,0.403568689,0.330481046,0.294518332,0.31354051,0.304181103,0.355309069,0.368223122,0.370090361,0.278641669,0.299349193,0.398216488,0.360980515,0.193582867,0.349054675,0.374187039,0.382161217,0.359453648,0.307306569,0.334495329,0.348483141,0.304618874,0.314030264,0.307707906,0.302016552,0.363271517,0.268841128,0.226130183,0.33078576,0.299130757,0.269231534,0.27904159,0.315238382,0.278318531,0.179634649,0.280036841,0.254157669,0.25800137,0.319628141,0.264137042,0.282762413,0.365816061,0.281904849,0.271685668,0.333973433,0.361575557,0.291392778,0.32319997,0.313919346,0.395850697,0.30848038,0.276227389
303,0.358283175,0.36510399,0.371170099,0.392421554,0.355843266,0.371581564,0.342573603,0.308010171,0.418692619,0.327209247,0.402525584,0.354427348,0.193365994,0.320224563,0.314887588,0.412036821,0.332007865,0.390907109,0.267443913,0.37767897,0.333006218,0.274090998,0.2929412,0.349180209,0.335189561,0.33100462,0.319823707,0.30072959,0.339724258,0.36921181,0.310549056,0.275015771,0.332027252,0.300488211,0.352586947,0.359143615,0.371588369,0.302355324,0.297435055,0.395379364,0.339277645,0.246026471,0.354706635,0.320124671,0.399195865,0.333844995,0.338911707,0.347138713,0.346636708,0.326374265,0.305956632,0.296272293,0.325691777,0.361634364,0.308094765,0.212017991,0.350304318,0.274478669,0.258066021,0.303843342,0.396300659,0.350316038,0.152447672,0.272531944,0.287605012,0.261592326,0.330114072,0.290963312,0.292506089,0.295523524,0.236193034,0.307867266,0.296762201,0.387709061,0.315202788,0.317311654,0.311004442,0.318021183,0.311721563,0.310953299
304,0.328247696,0.336802697,0.404091179,0.359395754,0.31698972,0.387593931,0.298733178,0.331128895,0.374939799,0.339972335,0.366999781,0.371963304,0.187394187,0.316781393,0.310672548,0.391188961,0.346949446,0.353856289,0.254667434,0.367512548,0.352565467,0.263052198,0.296622917,0.362665755,0.303962451,0.342543608,0.29593946,0.273816636,0.339698964,0.356557575,0.31815443,0.281598735,0.325900942,0.306851172,0.370539391,0.326760948,0.384389549,0.278679538,0.302002743,0.347089434,0.348596472,0.208378324,0.331433702,0.317000428,0.344638991,0.317002153,0.294016483,0.354220057,0.352982754,0.317566556,0.307166731,0.288853124,0.317545015,0.371753442,0.276688743,0.194467482,0.35564847,0.27912443,0.253504962,0.289702913,0.354605359,0.291406685,0.16271853,0.240694302,0.285329425,0.257584459,0.284330422,0.273294345,0.262330961,0.278983134,0.268084058,0.290376389,0.257394168,0.383751863,0.289057443,0.274591756,0.286112326,0.33318567,0.278188625,0.257412434
305,0.33691515,0.38090163,0.399140095,0.364230141,0.338598291,0.354058854,0.333006154,0.326628362,0.355057567,0.317252778,0.371770228,0.347509722,0.215345785,0.345185076,0.320059635,0.38545464,0.32893768,0.346929198,0.308862932,0.320543729,0.347994695,0.287059995,0.309386315,0.325551768,0.324152686,0.330368747,0.346728777,0.309090373,0.32985907,0.330600746,0.307133133,0.281851942,0.32116282,0.3315059,0.322526393,0.348646601,0.36143928,0.30812106,0.272918825,0.360981986,0.337572326,0.225675034,0.356825915,0.338824312,0.345991015,0.312018851,0.339571955,0.337397978,0.344403163,0.332141417,0.331932736,0.325621294,0.316993366,0.344400808,0.308990536,0.214216881,0.335339695,0.271467417,0.249097454,0.309976526,0.412879353,0.338629499,0.190570042,0.268543181,0.282315888,0.28231443,0.339242379,0.319059466,0.319309105,0.329491414,0.264621134,0.315204268,0.350629866,0.382373174,0.331982111,0.322655467,0.31145039,0.340701928,0.304260522,0.284371808
306,0.28201518,0.36878175,0.34764871,0.303727751,0.273732528,0.38206466,0.260525381,0.285743641,0.31779966,0.350970854,0.310265335,0.370100399,0.163701802,0.275045204,0.268123316,0.37105757,0.370374988,0.292770453,0.231400671,0.294278607,0.333716606,0.23566407,0.276641533,0.342451831,0.282006122,0.351222306,0.281113043,0.277601448,0.345500698,0.303937952,0.32029667,0.253553423,0.298249985,0.309146181,0.328231116,0.27800183,0.382743463,0.295367082,0.250238361,0.304556516,0.354112615,0.165092563,0.390855869,0.274488059,0.295619537,0.276807519,0.361023933,0.361350735,0.336351454,0.313574657,0.30783912,0.282305906,0.263291888,0.366009176,0.248374323,0.16767555,0.352707386,0.254562293,0.225677269,0.318471471,0.323154415,0.252607326,0.138571445,0.254359933,0.257324114,0.259113719,0.265807047,0.232690082,0.278011717,0.28794909,0.233792871,0.25603685,0.232973769,0.331552116,0.254406925,0.297932183,0.285877575,0.284594956,0.222750683,0.239111376
307,0.357913697,0.356377178,0.355251306,0.336746997,0.352608055,0.400201583,0.347014052,0.306390363,0.369781071,0.391736799,0.344932359,0.384339833,0.193552619,0.34475522,0.326029056,0.381449759,0.393978447,0.326083356,0.269909662,0.362791002,0.33895703,0.302153087,0.341432026,0.378678131,0.348448372,0.380268884,0.347668964,0.341651583,0.361380571,0.352572399,0.365650254,0.324005416,0.342639315,0.362595576,0.383558339,0.312847558,0.394738305,0.322640538,0.327246994,0.339970517,0.376549047,0.224986961,0.39890222,0.333817875,0.33540751,0.312523434,0.360528994,0.366707611,0.349397111,0.35501579,0.342966974,0.329945016,0.323323721,0.376957583,0.327883321,0.191628644,0.385069692,0.318868536,0.296791244,0.339298844,0.348949903,0.334834397,0.151766729,0.292760974,0.329232979,0.279947168,0.351126087,0.293344587,0.289388165,0.338097149,0.247510013,0.296947467,0.266401246,0.351491064,0.336927688,0.34651807,0.320444131,0.314512151,0.266925409,0.278102517
309,0.340053469,0.350283588,0.295697153,0.399949188,0.335040028,0.345375041,0.318436479,0.276272868,0.373040214,0.316473906,0.406652222,0.327473437,0.185943916,0.316590473,0.305822884,0.380840903,0.313603729,0.377642035,0.281143501,0.34210061,0.294273719,0.258325102,0.321311047,0.335192444,0.316818496,0.312109749,0.321934027,0.300403208,0.309316263,0.379816368,0.303728479,0.302787431,0.320537483,0.303949883,0.333439822,0.365257829,0.344635506,0.276475837,0.2943652,0.394695684,0.317891613,0.213100468,0.298825162,0.338552654,0.372339234,0.337892905,0.288989802,0.322926035,0.310045689,0.303537679,0.29785725,0.299533941,0.304388379,0.336168165,0.295893972,0.224030969,0.328571163,0.296714092,0.272522611,0.276842237,0.342981818,0.322346037,0.216304553,0.322919895,0.297697395,0.26691438,0.299101964,0.271098944,0.329587524,0.262718212,0.296242446,0.322264433,0.3197335,0.35403191,0.309763024,0.291509477,0.308485207,0.339786132,0.297642017,0.272799832
310,0.356067553,0.365714133,0.422197049,0.375284657,0.352149159,0.383412376,0.338796526,0.344461605,0.388950124,0.302906709,0.382744513,0.380595336,0.229620755,0.350070114,0.331012567,0.404627368,0.34446992,0.372071256,0.282740635,0.34720703,0.380710135,0.278312626,0.301293865,0.352599184,0.342566768,0.351960202,0.357240215,0.327457746,0.370323305,0.359105676,0.292914689,0.286242011,0.348044182,0.349305059,0.330708772,0.35432292,0.393833051,0.326341122,0.267768887,0.3655755,0.348261585,0.232495042,0.415374661,0.32738782,0.360988376,0.343065463,0.377465983,0.37814789,0.371224408,0.365292132,0.375815849,0.35872072,0.323268349,0.365836422,0.320676972,0.236218979,0.36468972,0.290237236,0.24333475,0.346041178,0.334083962,0.3408998,0.185492792,0.286191471,0.305077597,0.268362723,0.310060491,0.285536371,0.299719669,0.308689733,0.260201688,0.286777498,0.316153737,0.387069027,0.31986021,0.310232458,0.315943301,0.316136772,0.335711417,0.261725267
311,0.351789907,0.386899759,0.467238858,0.306220695,0.344687675,0.414566313,0.333239526,0.375803471,0.351430555,0.351280048,0.313599308,0.403592855,0.234751021,0.341699953,0.327958956,0.405781507,0.385566771,0.309626167,0.274860576,0.328073477,0.395804952,0.303050794,0.279495684,0.379200752,0.355323325,0.377697046,0.32378045,0.346190728,0.387638008,0.296850448,0.329700028,0.284651227,0.35682638,0.343682843,0.347367997,0.300369685,0.418574641,0.328535353,0.26743448,0.301664665,0.381577502,0.218126416,0.400739719,0.289600248,0.312625319,0.295704603,0.376357093,0.402054061,0.387098536,0.377577821,0.36045335,0.330400581,0.320258066,0.390698592,0.31852747,0.196070467,0.401154632,0.279799762,0.252064067,0.354322746,0.391407599,0.322265565,0.183758947,0.28365812,0.274320352,0.250109822,0.31205183,0.270629637,0.327294258,0.360943591,0.222452792,0.255619176,0.32393236,0.374317845,0.30068553,0.31953452,0.305930021,0.337656898,0.307751574,0.257564088
312,0.334683801,0.367916837,0.336250119,0.392438844,0.329089008,0.359281207,0.31175633,0.278514749,0.388356869,0.301199252,0.400869325,0.340638449,0.174812144,0.303332525,0.29760888,0.398047164,0.330723469,0.381511132,0.263337277,0.358373682,0.320208679,0.239265639,0.291264529,0.33206295,0.310261555,0.319384669,0.319517128,0.286706363,0.325546235,0.364557087,0.280342624,0.265702834,0.310967868,0.297515767,0.325645278,0.355491564,0.360211318,0.284916349,0.27137394,0.383947815,0.323437651,0.219602816,0.339085619,0.324151635,0.373265405,0.328303277,0.327485045,0.339989622,0.327793422,0.319161934,0.310719545,0.309255977,0.307581738,0.352967287,0.28418464,0.210846387,0.341438234,0.267230938,0.221150363,0.29215353,0.346181282,0.276203683,0.171307486,0.248441748,0.291305594,0.274365711,0.280347573,0.243967755,0.277326445,0.286838954,0.265828917,0.282800136,0.262829706,0.387954069,0.280503662,0.287347347,0.306781011,0.313881132,0.279347957,0.275660212
313,0.342097034,0.359740739,0.465311085,0.335290353,0.341001791,0.405570264,0.34403798,0.382115637,0.34869951,0.323790895,0.343145986,0.398279856,0.231626026,0.336975808,0.319691136,0.400005187,0.370772126,0.304651385,0.262050144,0.315300778,0.397368555,0.314450713,0.287001702,0.363010168,0.365230853,0.369839919,0.352414663,0.354323859,0.40057679,0.324417035,0.310241972,0.268317903,0.343288377,0.348690301,0.340109075,0.324001387,0.405416305,0.303114772,0.248124175,0.334711517,0.361380299,0.212955964,0.393211916,0.324444736,0.331016804,0.327058842,0.332508172,0.386338775,0.398621663,0.398513968,0.374835968,0.344800596,0.315324053,0.380858123,0.333730221,0.212115822,0.402813464,0.275068482,0.293925203,0.334242272,0.392489473,0.316880743,0.14632512,0.243300927,0.24881687,0.208973107,0.285915752,0.246373502,0.296443231,0.304980598,0.204988976,0.249667235,0.311365128,0.345385591,0.300779186,0.277213951,0.29790774,0.310704102,0.303525726,0.220449361
314,0.329470488,0.330222378,0.505107353,0.378633879,0.324692421,0.357123509,0.311712116,0.400011112,0.360632648,0.288953096,0.384947685,0.358854055,0.253840963,0.354719962,0.332450916,0.378490582,0.304259146,0.342409328,0.255300177,0.321372141,0.39466313,0.300020201,0.318375781,0.331047724,0.321599958,0.329909196,0.354129478,0.314249245,0.345720972,0.377951535,0.291646168,0.287407753,0.342406909,0.334196627,0.331408327,0.354032231,0.368328989,0.291807001,0.265113145,0.376230786,0.337605064,0.207038435,0.372260824,0.345794166,0.360466547,0.376966588,0.308721222,0.338202034,0.373139585,0.353222892,0.371440659,0.351672652,0.311773807,0.343311459,0.314284995,0.244398035,0.335783447,0.299891445,0.304835598,0.310613193,0.384421989,0.292197332,0.154466399,0.301081444,0.235881486,0.20104531,0.276882132,0.252432612,0.326471262,0.330924784,0.221204969,0.181567442,0.305306519,0.335627298,0.293870196,0.287450127,0.335660097,0.34060591,0.374584248,0.263489279
315,0.368100216,0.355753725,0.392384607,0.355686401,0.34566692,0.400160914,0.323410543,0.315034298,0.376210784,0.318116985,0.361643324,0.381671801,0.199564124,0.323045251,0.329718808,0.400022591,0.35650334,0.331181094,0.242914396,0.381750668,0.354371302,0.236182292,0.2768293,0.376778642,0.336720164,0.344009236,0.344721968,0.299395854,0.35884285,0.346611346,0.290742762,0.258780139,0.350250388,0.336066994,0.357782692,0.325225294,0.393841545,0.285262505,0.278071408,0.355105152,0.348844846,0.228870399,0.36572665,0.30569993,0.345347678,0.326207836,0.321876027,0.36764919,0.352229933,0.350875775,0.350137333,0.353600683,0.341882137,0.376039644,0.297309401,0.198276646,0.391608365,0.25900593,0.230735374,0.296773265,0.332963529,0.267280502,0.149440198,0.263749602,0.278741054,0.215012431,0.261477537,0.211601708,0.295673283,0.262761305,0.230120254,0.233456691,0.289002518,0.37522804,0.279331118,0.260741157,0.291327236,0.308808692,0.286941515,0.278413393
316,0.356473595,0.348080909,0.332240945,0.380358869,0.35349341,0.34574669,0.340096796,0.286611485,0.383932996,0.333694172,0.387382787,0.329922271,0.178638983,0.334784889,0.323223215,0.37490778,0.324175942,0.363614666,0.267990983,0.371253026,0.306398678,0.271491143,0.331539088,0.333106762,0.325490159,0.319313309,0.342683214,0.30425714,0.305764976,0.378067005,0.316847906,0.298881078,0.322152108,0.307219079,0.34851166,0.34540025,0.345222396,0.297624457,0.309684658,0.375692666,0.328260911,0.239130747,0.343310422,0.349222076,0.363844275,0.328919464,0.331878901,0.322034758,0.315013677,0.310039875,0.306445754,0.30668534,0.321691614,0.337965363,0.311925596,0.206917939,0.322688901,0.298709136,0.279504415,0.299966714,0.355027926,0.332707608,0.170442158,0.305927038,0.315050802,0.292330769,0.347440231,0.271948054,0.288338161,0.320911461,0.269982389,0.291803685,0.273967195,0.366619164,0.347675949,0.344166285,0.321837288,0.331414264,0.27804006,0.299543339
317,0.346173023,0.360984499,0.38518619,0.380857279,0.33942546,0.343765785,0.334392821,0.312483862,0.370931491,0.283850784,0.387400736,0.332804218,0.201676975,0.333586723,0.316491137,0.391556268,0.298883018,0.349255244,0.282626169,0.337299044,0.340567226,0.278149595,0.301365609,0.321855607,0.332590297,0.309033655,0.351065117,0.311297911,0.331695348,0.353672097,0.277944364,0.280038188,0.322057272,0.312005887,0.317900635,0.350974267,0.34821187,0.297570961,0.274192323,0.38526912,0.313384933,0.225933532,0.331303902,0.332518215,0.364931621,0.326691637,0.317001934,0.325486104,0.342058827,0.333986774,0.326301858,0.328344283,0.317564974,0.332997372,0.309461216,0.210073916,0.336826272,0.277581645,0.247875897,0.300563162,0.397700563,0.318062286,0.175724708,0.257670653,0.305373619,0.280496334,0.328795155,0.283777006,0.290770697,0.30819426,0.263987174,0.303136321,0.331192168,0.384610067,0.329027057,0.313360433,0.305038837,0.324289533,0.284140967,0.292941824
319,0.354486951,0.332970398,0.344969312,0.37035263,0.352202058,0.352220186,0.347464297,0.318073984,0.402977718,0.303481851,0.379676593,0.330612281,0.209030987,0.323281016,0.311643311,0.396197783,0.318999082,0.354537338,0.259887353,0.377248317,0.322095341,0.277473856,0.324509355,0.333442152,0.339733192,0.320409749,0.318332564,0.312610824,0.345008965,0.373635228,0.28655774,0.299981658,0.326376862,0.297746675,0.341619215,0.341288669,0.345501949,0.284311999,0.305575863,0.387799408,0.317911567,0.241096169,0.323311352,0.307469949,0.400849564,0.362503724,0.307118786,0.319880313,0.343111817,0.332934818,0.313629559,0.305637662,0.322024665,0.33585075,0.309888233,0.202897561,0.351169212,0.290980222,0.267532095,0.292985043,0.316113112,0.310516768,0.186374569,0.279364995,0.313794877,0.237994645,0.269543852,0.235286557,0.322054241,0.253856258,0.251089398,0.325955412,0.30337442,0.347998493,0.268337302,0.270834782,0.250796857,0.333265583,0.276694557,0.222799774
