"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9"
59,0.0349292398119966,0.0345593063781659,0.0298290193701784,0.0616262977321943,0.0074251308105886,0.0109090383630246,0.0208151258217792,-0.0743386459847291,0.0242743606989582,0.0269828410819173
60,0.0389140093078216,0.0247050606412813,0.0463226918751995,0.0155001982057001,0.0270641880730788,0.00780379818752408,0.00516590260425194,-0.0731400288641453,0.0312229171395302,0.0122361305790643
61,0.0506372551123301,0.0355232536482314,0.0282706677292784,0.0166343826179703,0.0144645081988225,0.0226852376945317,0.0288928779773414,-0.0755414503316085,0.0377649363751213,0.014208629145287
62,0.0232956820271081,0.0378510912673341,0.0283754167871343,0.0342176587631305,0.024633485565169,0.0239752677993642,0.0377396994994746,-0.0751074254512787,0.023396893714865,0.00407192951630956
63,0.0403363204871615,0.0241414926325281,0.0222025602124631,0.0345659845819076,0.0384686042865117,0.00566934429419537,0.0263961643601457,-0.0767683113614718,0.00357629282128376,0.0059909539995715
64,0.0538529743041311,0.0221452112974865,0.0227300361064928,0.0637834380779948,0.00590261311403343,0.0232429026759097,-0.00176989242234933,-0.0705503800085613,0.0300023233784097,0.0132608073763549
65,0.0387762590932349,0.0100564346976171,0.0302095698813597,0.0453096432611346,0.0265600626201679,0.0236102769461771,0.0103253268171102,-0.0769673610726992,0.0441609558959802,0.0200893448976179
66,0.0297143246978521,0.0199070720467716,0.0577864646911621,0.037258617952466,0.0148556761443615,0.00422163803305011,0.0302977420389652,-0.0747553467750549,0.0202201060950756,-0.00282101160846651
67,0.047247693563501,0.0172025766223669,0.0267976438626647,0.0567405615001917,0.0199441274938484,0.00158978160470724,0.0242844691189627,-0.0722552401324113,0.0316879531989495,0.0149994817717622
68,0.0367230819538236,0.0247573194404443,0.0262297394995888,0.0437137143065532,0.0156111460334311,-0.00262143497820944,0.0416554251375298,-0.084817323833704,0.0280003296987464,-0.00488514939691716
