"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9"
40,0.0565520964562893,0.0217504425231403,0.0139217251080131,0.0315114807337522,0.0278687226278466,0.0072881542146206,0.0333102458877053,-0.0766914986012524,0.00979660449540589,0.0101615802546321
41,0.0465762230257193,0.00908577711864687,0.0192941992761621,0.0399126568809152,0.0116180563325041,0.0244094855152071,0.00621452762191391,-0.0735391290626905,0.0186491388385556,0.0157624914304652
42,0.0551086411412273,0.00890540003603605,0.0227420798772727,0.0476728757577283,0.0207493214009175,0.0113491599581071,0.0208086301458794,-0.0765101677659813,0.0499724899947369,0.0042233826806301
43,0.0297225784510374,0.0172477937122805,0.0196005964565338,0.0295450363308191,0.035995905963857,0.00976272891275585,0.0285615662977823,-0.0775246182572167,0.0342834928041705,0.00318754438313031
44,0.0477423667907715,0.0109467434591958,0.0360236167361416,0.0523992544040084,0.0427415841803512,0.0123920796710687,0.00806009249963232,-0.0796807103393291,0.00684290954635407,0.00416515615341069
46,0.0489255035562175,0.0101125367156866,0.0179080635837195,0.0407812081809555,0.0333387001771443,0.0206884391871946,0.0297398457061634,-0.0834105911672901,0.0183515538600484,-0.00185921379462896
47,0.0431327007710934,0.00792168531034559,0.0390661935603036,0.0283663403242826,0.0265609106802426,0.0161830646917224,0.000466531936887256,-0.0754982790370154,0.0347011054889656,0.0277236039419977
48,0.0342438079416752,0.0295127489795462,0.0273743247509935,0.0263708784244955,0.0240280578871468,0.0156305527314544,0.0355839539656602,-0.0803410314132967,0.02693407531216,0.0319422095014037
49,0.0179800305515528,0.0145983271291224,0.0226149761846992,0.0351525563746691,0.016312630377342,0.0147324146702886,0.0133003647218297,-0.0813592938253639,0.0358188892153553,0.0129166731514086
50,0.0508198399717609,0.00350992542977717,0.0326375695719339,0.0345411595577995,0.0238577721830933,0.00764103047549725,0.0200909465221148,-0.0811907526065214,0.0172991038212322,0.0207243468789654
