"","lat","long","Countries","Genotype"
"CS76286",51.3,0.4,"United Kingdom",61
"CS28135",48.0717,1.33867,"France",140
"CS28160",51.3,1.1,"United Kingdom",138
"CS28163",40.12,-8.25,"Portugal",142
"CS28200",49.8724,8.65081,"Germany",145
"CS28274",50.3,8,"Germany",156
"CS28279",51.0167,5.86667,"Germany",157
"CS28282",51.5338,9.9355,"Germany",161
"CS28332",50.3,8,"Germany",160
"CS28369",49.2,16.6166,"Czech Republic",227
"CS28373",49,15,"Austria",168
"CS28382",50.0667,8.5333,"Germany",171
"CS28419",51.3317,6.55934,"Germany",173
"CS28420",50.0742,8.96617,"Germany",175
"CS28423",49.631,11.5722,"Germany",174
"CS28461",50.3833,8.0666,"Germany",179
"CS28495",50.001,8.26664,"Germany",180
"CS28575",50.5,8.5,"Germany",184
"CS28578",-37.7871,175.283,"New Zealand",185
"CS28583",53.1667,8.2,"Germany",189
"CS28587",50.3827,8.01161,"Germany",190
"CS28795",52.0918,5.1145,"Netherlands",216
"CS28810",51.9666,5.6666,"Netherlands",220
"CS28812",41.7302,-71.2825,"United States of America",233
"CS76083",42.093,-86.359,"United States of America",358
"CS76085",42.0945,-86.3253,"United States of America",359
"CS28140",51.4083,-0.6383,"United Kingdom",114
"CS28214",49.4167,16.2667,"Czech Republic",149
"CS28610",51.2878,0.0565,"United Kingdom",234
"CS28613",51.2878,0.0565,"United Kingdom",235
"CS28633",52.25,4.5667,"Netherlands",242
"CS28637",48.6103,2.3086,"France",245
"CS28760",41.96,12.8,"Italy",211
"CS76119",49.4112,16.2815,"Czech Republic",81
"CS76181",47.3833,5.31667,"France",15
"CS76184",47.3833,5.31667,"France",18
"CS76162",48.5167,-4.06667,"France",13
"CS76299",46.65,0.166667,"France",40
"CS76255",46.6667,4.11667,"France",27
"CS76206",46.65,-0.25,"France",21
"CS76259",46.6667,4.11667,"France",31
"CS76207",46.65,-0.25,"France",22
"CS76148",43.6833,7.33333,NA,8
"CS76165",40.7777,-72.9069,"United States of America",42
"CS76285",51.3,0.4,"United Kingdom",60
"CS76288",51.2,0.4,"United Kingdom",63
"CS76278",54.7,-3.4,"United Kingdom",70
"CS76279",54.7,-3.4,"United Kingdom",71
"CS28097",47.5,7.5,"Switzerland",129
"CS28202",50.3055,8.324,"Germany",147
"CS28210",50.7224,8.2372,"Germany",148
"CS28217",52.0333,5.66667,"Netherlands",150
"CS28268",50.1102,8.6822,"Germany",154
"CS28395",54.8969,23.8924,"Lithuania",170
"CS28527",48.6167,6.25,"France",228
"CS76209",43.7623,-86.3929,"United States of America",51
"CS76233",55.6494,13.2147,"Sweden",93
"CS76234",55.6472,13.2225,"Sweden",94
"CS76238",55.7936,13.1233,"Sweden",98
"CS76239",55.7967,13.1044,"Sweden",99
"CS76241",55.8378,13.3092,"Sweden",101
"CS76243",62.8714,18.3447,"Sweden",102
"CS76246",55.7717,14.1206,"Sweden",106
"CS76247",55.7714,14.1208,"Sweden",107
"CS76250",55.7,13.2,"Sweden",108
"CS76269",49.2771,16.6314,"Czech Republic",110
"CS28014",53.448,5.73,"Netherlands",122
"CS28018",50.3,5.3,"Belgium",123
"CS28051",59.4308,16.7999,"Sweden",126
"CS76232",42.03,-86.514,"United States of America",53
"CS76270",53.2,-1.4,"United Kingdom",76
"CS76280",51.3,0.5,"United Kingdom",55
"CS76291",51.1,0.4,"United Kingdom",66
"CS76308",49.3853,16.2544,"Czech Republic",113
