"Genotype","Dim_0","Dim_1","Dim_2","Dim_3","Dim_4","Dim_5","Dim_6","Dim_7","Dim_8","Dim_9","Dim_10","Dim_11","Dim_12","Dim_13","Dim_14","Dim_15","Dim_16","Dim_17","Dim_18","Dim_19","Dim_20","Dim_21","Dim_22","Dim_23","Dim_24","Dim_25","Dim_26","Dim_27","Dim_28","Dim_29","Dim_30","Dim_31","Dim_32","Dim_33","Dim_34","Dim_35","Dim_36","Dim_37","Dim_38","Dim_39","Dim_40","Dim_41","Dim_42","Dim_43","Dim_44","Dim_45","Dim_46","Dim_47","Dim_48","Dim_49"
103,6.07729411125183,6.15124607086182,-2.03522455692291,0.579022660851479,0.717671071489652,0.697167634963989,0.319210956494013,0.386118839184443,-1.93364489078522,0.321145604054133,0.404472420612971,0.518270370860895,0.528905202945073,0.571433633565903,0.329667260249456,0.351468960444133,0.0527927689254284,0.236794043332338,0.514015490810076,0.708279949923356,-0.212128060559432,0.510974744955699,-2.38765203952789,-2.38307857513428,-1.61403665939967,0.00288889685180038,0.00473999682193001,0.00227566202132342,0.00312440809405719,0.00303911359515041,0.00272480955269809,0.00485046902516236,0.00429244715875636,0.00288743712007999,0.00278279054327868,0.00395031354855746,0.00253915755699078,0.00363274252352615,0.00296957944131767,0.0030351682798937,0.00290620850864798,0.00394874527895202,0.00182157751987688,0.00443743045131365,0.00292553867135818,0.00411551608704031,0.00209811114473268,0.00244932520824174,0.0045550314631934,0.00378380071682235
104,7.16148495674133,7.53573513031006,-2.19114897648493,0.260226239760717,0.479196887463331,0.673223296801249,0.51573467751344,0.35527449597915,-1.94955629110336,0.478857482473056,0.379532923301061,0.39376741896073,0.462096778055032,0.560105830430984,0.334211589147647,0.412967875599861,0.13107160727183,0.388115509102742,0.53005188703537,0.727460759381453,-0.305194012820721,0.358135744929314,-2.596404393514,-2.44641101360321,-1.25139617919922,0.00260101724416018,0.00518565213618179,0.0019043458548064,0.00210231315577403,0.00221037744389226,0.00229857470064114,0.00412587600294501,0.00333361770026386,0.00244298693723977,0.00258234312059358,0.00315705746955549,0.00187918740751532,0.003034865076188,0.00286910523815701,0.00303541926162628,0.00206488883122802,0.00287672961712815,0.0012607757380465,0.003153315531866,0.00201565228053369,0.00322420146161069,0.0011111107984713,0.00186851783655584,0.00441404579517742,0.00284889679945384
105,6.28029314676921,6.74076128005981,-2.10593438148499,0.454784641663233,0.514419217904409,0.466316729784012,0.188712845245997,0.294835445781549,-1.83321205774943,0.469657808542252,0.444950679937998,0.67577330271403,0.498482430974642,0.311184863249461,0.136638250201941,0.508960256973902,0.268165151278178,0.455581466356913,0.650025586287181,0.745234499375025,-0.351152456055085,0.275426926712195,-2.60660727818807,-2.34579257170359,-1.29727141062419,0.00292674909966687,0.00562466560707738,0.00232077337568626,0.00296593271195889,0.00327724264934659,0.00261472206329927,0.00520728920431187,0.00471494273127367,0.00285678176442161,0.00298325634018208,0.00405637941245611,0.00231119282155608,0.0036197155714035,0.00267677319546541,0.00296894105849788,0.0026119066363511,0.00360773333037893,0.00158256001304835,0.00406314556797345,0.00241495659186815,0.0037125392894571,0.00175331878320624,0.0020291170415779,0.0047057841050749,0.00389720402502765
107,7.06729420026143,6.91645208994548,-2.1534507671992,0.0085893968741099,0.250626944005489,0.491657643268506,0.343269258737564,0.240892770389716,-1.87051961819331,0.553370356559753,0.551897883415222,0.521958813071251,0.321870798865954,0.460903724034627,0.422936240832011,0.570378363132477,0.391559441884359,0.548968434333801,0.580550151566664,0.70586246997118,-0.327070961395899,0.320716214676698,-2.48237323760986,-2.30381222565969,-1.6695056160291,0.00253631178444872,0.00571115384809673,0.00183767161797732,0.00207240510887156,0.00241558110186209,0.0025993311816516,0.00442293441543976,0.00405260225913177,0.00309010337029273,0.0035211750655435,0.0042160728868718,0.00252085642811532,0.00391211775907626,0.00316099963189724,0.00347532993570591,0.00246536498889327,0.00351943372515962,0.00158806145191193,0.0035098495039468,0.00271174356263752,0.00368397880811244,0.0013769708845454,0.00200169434538111,0.00517530114545176,0.00281818018993363
108,6.65424060821533,6.77083428700765,-2.06928906838099,0.561887035767237,0.465242303907871,0.417897500097752,0.295257454117139,0.296847720940908,-1.81963549057643,0.602408900856972,0.436284442742666,0.432626587649186,0.567131246129672,0.660774831970533,0.445074211806059,0.50235919157664,0.168601910273234,0.330133276681105,0.517755553126335,0.572976378103097,-0.378342639654875,0.3791721885403,-2.7008041938146,-2.57300905386607,-1.50910115242004,0.00231817073654383,0.00466773616305242,0.00193817965919152,0.00271954055642709,0.00281952612567693,0.00215251753494764,0.00403002983269592,0.00339545162084202,0.00250251492252573,0.00272272216777007,0.00330518933090692,0.00200907342756788,0.00316557311452925,0.00246836025811111,0.00276930214992414,0.0024248697833779,0.00322056295893465,0.00135379723117997,0.00304913404397666,0.0021125206258148,0.00312494890143474,0.00143312522171376,0.00163661760355656,0.00398692671054353,0.00284168607322499
110,6.80785250663757,6.44763326644897,-2.1577583750089,0.42143755654494,0.372261395057042,0.428196946779887,0.441900670528412,0.646334740022818,-1.55281569560369,0.604289347926776,0.461954305569331,0.371178162594636,0.255511606733004,0.418023606141408,0.411290844281514,0.473727802435557,0.115609586859743,0.272846539815267,0.395743280649185,0.601481179396311,-0.317948795855045,0.320680417120457,-2.65713036060333,-2.4611820379893,-1.12280453244845,0.00357407265497992,0.00640657633387794,0.00270906841615215,0.00296657060971484,0.0032912326278165,0.00311796095532676,0.00564381181417654,0.00599585295033952,0.00409246476677557,0.00522562193994721,0.00472850550431758,0.00258749758359045,0.00385012694944938,0.0032740566918316,0.00390951616767173,0.00305001990636811,0.00343459735934933,0.00150480589945801,0.00350892856173838,0.00234856825166692,0.00422438808406393,0.00168387558854495,0.00222976292328288,0.00644734742430349,0.00458714860724285
111,6.66428542137146,7.07322438557943,-1.91337104638418,0.715256089965502,0.622991134723028,0.571297446886698,0.337129001816114,0.314929155011972,-1.95385162035624,0.517037188013395,0.465951442718506,0.541726777950923,0.502777342995008,0.527665888269742,0.50002110004425,0.413840184609095,0.0775647163391113,0.211090714981159,0.45803651958704,0.550618407626947,-0.481878237177928,0.362785125772158,-2.63501540819804,-2.53741542498271,-1.69063452879588,0.00269896040360133,0.00567810982465744,0.00237290082926241,0.00329271379935866,0.0031409101599517,0.00222266686614603,0.00448083330411464,0.0035242612939328,0.00253674257934714,0.00274878523972196,0.00332659902051091,0.0020835884885552,0.00343815025795872,0.00266477704280987,0.002988470417525,0.00242458550686327,0.00299819756764919,0.00137263060605619,0.0029051981594724,0.00218406136264093,0.00316399318398908,0.00142632020773211,0.0017913849830317,0.0041704360434475,0.00308268086519092
112,7.13050373395284,7.30280923843384,-2.17645200093587,0.496655106544495,0.370195216188828,0.538460969924927,0.465429668625196,0.231139975289504,-1.86766866842906,0.63790979484717,0.55821837981542,0.506527327001095,0.496272128075361,0.629513079921404,0.408212860425313,0.363444074988365,0.255337834979097,0.474871729811033,0.370054356753826,0.439266321559747,-0.429485431561867,0.419116899371147,-2.68483273188273,-2.41911566257477,-0.998068297902743,0.00219224496201302,0.00505297825050851,0.00188176553153122,0.00232924767381822,0.00228409696137533,0.00191362318582833,0.00397026383628448,0.00309351187509795,0.00251978333108127,0.00305058997279654,0.00306366186123341,0.00189260841580108,0.00303696899209172,0.00271234719548374,0.0033198919845745,0.00213301591187095,0.00265066312082733,0.00121230873628519,0.00240131428775688,0.00159800666733645,0.00304983833727116,0.0011258739978075,0.00174677144968882,0.00413657259196043,0.00302222943476712
113,6.21717344011579,6.56055000850133,-2.09094098636082,0.314282502446856,0.391611478158406,0.542041334722723,0.366906825985227,0.191048668963569,-1.94563940593175,0.455354733126504,0.445669744695936,0.507490400757108,0.427544219153268,0.461704522371292,0.301700106688908,0.467175790241786,0.252229239259447,0.430767229625157,0.556474930473736,0.702994906476566,-0.199518998818738,0.495969152876309,-2.44990587234497,-2.37816371236529,-1.60766661167145,0.00291830411047808,0.00567024773252862,0.00232423498528078,0.00303034476071064,0.00327959087943392,0.00274713217679943,0.00491528800089977,0.00407028110099158,0.0031524621715237,0.00309447188296222,0.00428003012867911,0.00260666447658358,0.00406742428562471,0.00341074024826022,0.00334486747825784,0.00292781710491649,0.00384666800632008,0.00189891073387116,0.0042981651412057,0.00304338249510952,0.00418653996062598,0.00200043833215854,0.00243510267630752,0.00486763187551073,0.00360673514660448
114,6.57772866884867,6.3263422648112,-2.18750699361165,0.393130481243134,0.492754862954219,0.674141893784205,0.445114766558011,0.392015842099984,-1.85966261227926,0.342039992411931,0.42564860979716,0.422692413131396,0.394788444042206,0.53372630973657,0.385894104838371,0.500140905380249,0.0530706848949194,0.213806096464396,0.518156933287779,0.730860076844692,-0.304272995640834,0.366221917172273,-2.56332071622213,-2.32311578591665,-1.05529942115148,0.00307298969710246,0.00503624649718404,0.00237780584332844,0.00278078430953125,0.00284304821010058,0.00287562600957851,0.00501536605103562,0.00500477105379105,0.00315678701736033,0.00320596034483363,0.00442583723148952,0.00247501739067957,0.00382401720465471,0.00314380989099542,0.00343180059765776,0.00279995077289641,0.00366315327119082,0.00149196700658649,0.00399281561840326,0.00244837106826405,0.00407346566983809,0.00177501504852747,0.00216544413706288,0.00541711590873698,0.00391524832230061
115,6.99549849828084,6.57483911514282,-1.79818501075109,0.584122717380524,0.37695574387908,0.554177720099688,0.352336247762044,0.345604836940765,-1.74589325984319,0.54860449830691,0.579937090476354,0.669273780658841,0.544413546721141,0.462347383300463,0.446455534547567,0.499703993399938,0.261774163072308,0.490939930081367,0.586870796978474,0.476410771409671,-0.486869584769011,0.270361060897509,-2.82585716247559,-2.54028018315633,-1.71591085195541,0.00249431247357279,0.0051238980377093,0.00189646822400391,0.00267994512493412,0.00258064444642514,0.00225512834731489,0.00426610431168228,0.00429126880286882,0.00287726571938644,0.00318622426129878,0.00375283946050331,0.00235119240824133,0.00376669152562196,0.00262368293867136,0.00284614161743472,0.00229224849802752,0.00342754953696082,0.00139384451904334,0.00301289090809102,0.00210984291819235,0.00355535807708899,0.00141573233607536,0.00164353095654709,0.00442560517694801,0.00309374505498757
116,6.18848317010062,5.88525118146624,-2.23041759218488,0.330979645252228,0.504062737737383,0.691050274031503,0.441821834870747,0.426591498511178,-1.89169524397169,0.484738251992634,0.497415661811829,0.606556424072811,0.523206949234009,0.465602563960212,0.482999171529497,0.507479786872864,0.273487610476358,0.436548680067062,0.482505106500217,0.55340062720435,-0.313111068946975,0.428611221058028,-2.76366645949227,-2.54107587678092,-1.38193224157606,0.00258332065173558,0.00472565753651517,0.0019856037106365,0.00273516348430089,0.00302112722835903,0.00295863410324923,0.0053423194746886,0.00505484470964542,0.00327881102982376,0.00340586408440556,0.00405940729459482,0.00277573495571102,0.00401291843237621,0.00316126328626914,0.00342118440728102,0.00295151118189096,0.0039205366546022,0.00164910560540323,0.00391227642207273,0.00250711270408439,0.00419079841646765,0.00172648880730516,0.00210242753382772,0.00508299074135721,0.00337951221237225
117,6.34648537635803,6.66039435068766,-2.13748256365458,0.423587585488955,0.536454161008199,0.539016424367825,0.386481980482737,0.589905520280202,-1.91143010059992,0.270740332702796,0.418184205889702,0.544684591392676,0.402733917037646,0.457491790254911,0.575622747341792,0.468255778153737,0.290707111358643,0.402950285623471,0.348692218462626,0.62275072435538,-0.28718168164293,0.308786906301975,-2.7342179218928,-2.40356965859731,-0.931126162409782,0.00295652142570664,0.0055116123209397,0.00246729158485929,0.00276488663318257,0.0030582559411414,0.00272492261137813,0.00540570239536464,0.0047013886893789,0.003207125798023,0.00364502950105816,0.00382252988250305,0.00260926043847576,0.00386005641970163,0.0032889042631723,0.00359542314739277,0.00248058695190897,0.00334909802768379,0.00149742368375883,0.00362932396819815,0.00213083430814246,0.00414665361555914,0.00141424121102318,0.00227628227245683,0.00543836030798654,0.00404416187666357
118,6.530295530955,6.49427668253581,-2.030235628287,0.694324066241582,0.792895745486021,0.966236015160879,0.706904143095016,0.705554368595282,-1.84475537141164,0.641235286990801,0.60230607787768,0.697632610177,0.518711102505525,0.440724963943164,0.435444042086601,0.131783286730448,-0.0676417152086894,0.117606439938148,0.182533676425616,0.463930567105611,-0.489885280529658,0.247583195567131,-2.51388057072957,-2.26921848456065,-0.941040188074112,0.00272585040268799,0.00515099933060507,0.00234865201249098,0.00297569008156036,0.00287836533971131,0.00286603406614934,0.00570277982236197,0.00539445205746839,0.00330713794877132,0.00422210855564723,0.00391151701721052,0.00241756398463622,0.00318476513105755,0.00270329806759643,0.00292935500813959,0.00213031796253442,0.00274955101970894,0.00129623030564593,0.00308037556533236,0.00182084871145586,0.00418567440162102,0.00147390389853778,0.00215507774070526,0.00450793166722481,0.00421046713987986
119,5.75392687320709,6.61507129669189,-2.1444175640742,0.410619417826335,0.407299713542064,0.629411657651265,0.484027629097303,0.416141880055269,-1.80969301859538,0.601188739140828,0.553782800833384,0.594618638356527,0.329481810331345,0.31713093817234,0.357285737991333,0.292375306288401,0.0429264903068542,0.333504899094502,0.51686920473973,0.695575458308061,-0.376624862353007,0.299613575140635,-2.67076249917348,-2.27741952737172,-1.02112239599228,0.00291755876969546,0.00654561910778284,0.00267064551978062,0.00310934759909287,0.00359407668778052,0.00317076979748284,0.00650182067571829,0.00529613027659555,0.00392901664599776,0.00427274339987586,0.00521847632868836,0.00304652096626038,0.00445653346832842,0.00376863597193733,0.00359568158940723,0.00270271832899501,0.00375048080847288,0.00184865682967938,0.00468503483959163,0.0025141584337689,0.0052030060129861,0.00209769696812145,0.002423844668859,0.00526148185599595,0.00442868800989042
120,5.62917194366455,6.61512928009033,-2.23425078392029,0.585893446207047,0.647958332300186,0.594324779510498,0.239566332101822,0.241685727238655,-1.97677028179169,0.418574970960617,0.431486237049103,0.235702266544104,0.27171326726675,0.484078180789948,0.460730195045471,0.521483683586121,0.244802439212799,0.345481120049953,0.514349314570427,0.711794984340668,-0.131190554797649,0.512058806419373,-2.49890155792236,-2.32513980865478,-1.05091609954834,0.00283939549699426,0.00600203201174736,0.00257766821887344,0.00347602204419672,0.00362614644691348,0.00269517416600138,0.00556459701620042,0.00428999466821551,0.00328545887023211,0.00335022453218699,0.00422992720268667,0.00246733520179987,0.00388710615225136,0.00347635098733008,0.0037894107401371,0.00332174198701978,0.00436511798761785,0.0019842591136694,0.00473683443851769,0.00291611095890403,0.00419735661707818,0.00197144499979913,0.0025342556880787,0.0048257720656693,0.00410284576937556
121,6.11087958017985,6.16031869252523,-2.17567451794942,0.421439622839292,0.580388069152832,0.811028023560842,0.574321076273918,0.443335697054863,-1.92140152057012,0.476554696758588,0.498094081878662,0.588140102724234,0.519877816239993,0.3314541776975,0.240742675960064,0.411025827129682,-0.0308982928593953,0.201016827176015,0.593289194007715,0.688274053235849,-0.286825578659773,0.615394135316213,-2.37087368965149,-2.26430559158325,-1.30604090293248,0.00270310995013764,0.00479402942194914,0.00196717217719803,0.00261558423517272,0.00238968523141618,0.00270218417669336,0.00497628399170935,0.00471859712464114,0.00310674208837251,0.00328874871289978,0.00431859283708036,0.00237492297310382,0.00331697007641196,0.00255113215340922,0.00262743845814839,0.00233993328098829,0.00304792994090045,0.00142035808918687,0.00373145462557053,0.00228117268610125,0.00440214496726791,0.0020197886818399,0.00226521905278787,0.00438789903031041,0.00400916741151984
